제목,사건번호,선고일자,참조조문,판시사항
"산업안전보건법위반[인천항 갑문 보수공사에서 작업을 하던 근로자가 추락하여 사망한 사건에서, 도급인인 및 그 안전보건관리총괄책임자의 산업안전보건법 위반죄 성립 여부가 문제된 사건]",2023도14674,2024. 11. 14.,"산업안전보건기준에 관한 규칙 제3조, 산업안전보건기준에 관한 규칙 제43조, 산업안전보건기준에 관한 규칙 제619조, 산업안전보건기준에 관한 규칙 제625조, 산업안전보건법 제2조, 산업안전보건법 제29조, 산업안전보건법 제38조, 산업안전보건법 제39조, 산업안전보건법 제63조, 산업안전보건법 제64조, 산업안전보건법 제67조, 산업안전보건법 제68조, 산업안전보건법 제70조, 산업안전보건법 제167조, 산업안전보건법 제168조, 산업안전보건법 제169조, 산업안전보건법 제172조, 산업안전보건법 제173조, 산업안전보건법 제175조","[1] 건설공사 현장에서 안전·보건조치의무를 위반하여 관계수급인의 근로자가 사망한 경우, 건설공사를 도급하는 사업주 중 시공을 주도하여 총괄·관리하는 자는 ‘도급인’에 해당하여 그 근로자의 사망에 관하여 산업안전보건법 제167조의 형사책임을 부담하게 되고, 그렇지 않은 자는 ‘건설공사발주자’로서 위와 같은 형사책임을 부담하지 않는지 여부(적극) / 산업안전보건법상 건설공사 도급과 관련한 안전·보건조치의무 및 그 위반에 따른 형사처벌 규정을 해석할 때 고려하여야 할 점 / 건설공사를 도급하는 사업주가 자신의 사업장에서 사망한 관계수급인의 근로자와 관련하여 산업안전보건법 제167조의 형사책임을 부담하는 도급인에 해당하는지 판단하는 기준
 [2] 산업안전보건법 제38조, 제39조가 사업주에 대하여 각종 의무를 규정한 취지 및 같은 법 제173조, 제168조 제1호에서 위 규정을 위반한 행위를 처벌하는 취지 / 사업주 등이 산업안전보건법 제38조, 제39조 등에서 정한 필요한 조치를 이행하지 아니한 경우, 그 자체로 같은 법 제173조, 제168조 제1호, 제38조, 제39조 위반죄가 성립하는지 여부(적극)"
성폭력범죄의처벌등에관한특례법위반(강간등치상)[형사조정조서의 증거능력이 문제된 사건],2024도11314,2024. 11. 14.,"대한민국헌법 제12조, 대한민국헌법 제27조, 형사소송법 제310조의2, 형사소송법 제311조, 형사소송법 제312조, 형사소송법 제313조","형사소송법 제313조 제1항에 의하여 증거능력이 인정되는 ‘전 2조의 규정 이외에 피고인 또는 피고인이 아닌 자가 작성한 진술서나 그 진술을 기재한 서류’의 의미(=수사과정 외에서 작성된 서류) / 피고인의 진술을 기재한 서류가 수사기관이 아닌 자에 의하여 작성되었으나, 수사가 시작된 이후 수사기관의 관여나 영향 아래 작성된 것으로서 실질적으로 고찰할 때 그 서류가 수사과정 외에서 작성된 것이라고 보기 어려운 경우, 형사소송법 제313조 제1항의 ‘전 2조의 규정 이외에 피고인의 진술을 기재한 서류’에 해당하는지 여부(소극) / 수사기관이 아닌 자가 수사과정에서 작성한 피고인의 진술을 기재한 서류의 증거능력을 인정할 때 엄격한 제한 필요성"
업무상배임[배임죄에서 ‘타인의 사무를 처리하는 자’에 해당하는지 여부가 문제된 사건],2024도13000,2024. 11. 14.,"형법 제355조, 형법 제356조","[1] 배임죄의 주체인 ‘타인의 사무를 처리하는 자’의 의미
 [2] 지입차주가 자신이 실질적으로 소유하거나 처분권한을 가지는 자동차에 관하여 지입회사와 지입계약을 체결함으로써 지입회사에 자동차의 소유권등록 명의를 신탁하고 운송사업용 자동차로서 등록 및 유지 관련 사무의 대행을 위임한 경우, 지입회사 운영자가 지입차주와의 관계에서 ‘타인의 사무를 처리하는 자’의 지위에 있는지 여부(원칙적 적극) / 지입차주가 지입회사로부터 할부로 지입회사 소유의 자동차를 매수하면서 해당 자동차에 관하여 지입계약을 체결한 경우, 지입계약이 체결되었다는 사실만으로 곧바로 지입회사 운영자가 지입차주와의 관계에서 ‘타인의 사무를 처리하는 자’의 지위에 있다고 볼 수 있는지 여부(원칙적 소극)"
업무상배임·사문서위조·위조사문서행사·상표법위반[원인행위 없이 상표권 이전등록을 마친 자의 상표 사용행위가 상표권 침해행위에 해당하는지 여부가 문제된 사건],2023도11044,2024. 11. 14.,"상표법 제89조, 상표법 제96조, 상표법 제230조","[1] 상표권이 양수인에게 이전되기 위한 요건 / 상표권자 이외의 제3자가 정당한 권원 없이 상표권의 효력범위에 속하는 행위를 한 경우, 이는 상표권의 침해행위에 해당하는지 여부(적극)
 [2] 피고인이 게스트하우스를 운영하면서 게스트하우스 서비스제공업 등을 하는 甲 주식회사의 등록상표를 피고인의 게스트하우스 인터넷 홈페이지에 게시하여 게스트하우스 영업활동을 함으로써 甲 회사의 상표권을 침해하였다는 이유로 기소된 사안에서, 피고인은 위 등록상표의 상표권자가 아니어서 피고인이 위 등록상표를 지정상품인 게스트하우스 서비스제공업 등에 사용한 것은 등록상표권의 침해행위에 해당한다고 한 사례"
재판확정기록열람등사거부처분취소·변경일부인용결정에대한재항고[형사재판확정기록에 대한 열람·등사 신청 시 형사소송법 제59조의2 제2항 본문 제3호에서 정한 열람·등사 제한사유에 해당하는지 여부가 문제된 사건],2024모2182,2024. 11. 8.,형사소송법 제59조의2,"형사소송법 제59조의2의 취지 / 형사소송법 제59조의2 제2항 본문에서 정한 공개제한사유 중 제3호 사유인 ‘소송기록의 공개로 인하여 사건관계인의 명예나 사생활의 비밀 또는 생명·신체의 안전이나 생활의 평온을 현저히 해할 우려가 있는 경우’에 해당하는지 판단하는 방법 및 형사재판확정 사건의 범죄가 개인의 인격권, 사생활의 비밀, 생명·신체의 안전, 생활의 평온 그 자체를 보호법익으로 하거나 이와 밀접한 관련이 있는 성폭력범죄, 스토킹범죄, 보복범죄 등인 경우, 재판기록의 공개에 있어 유의할 사항 / 형사소송법 제59조의2 제2항 단서에서 ‘열람 또는 등사에 관하여 정당한 사유가 있다고 인정되는 경우’의 의미 및 구체적인 사안이 이에 해당하는지 판단하는 방법 / 형사재판확정기록의 열람·등사신청에 관한 검사의 거부나 제한 처분 등에 대한 불복 방법(=준항고) 및 이러한 불복절차에서 법원의 심리방법"
공직선거법위반[공직선거 후보자 및 그 공약에 대한 의혹을 제기하는 표현이 허위사실공표에 해당하는지 여부가 문제된 사건],2023도16586,2024. 10. 31.,공직선거법 제250조,"[1] 어떤 표현이 공직선거법 제250조 제2항이 정한 허위사실공표에 해당하는지 판단하는 방법 및 이때 겉으로 드러나지 않은 주관적 사정을 표현의 해석에 고려하는지 여부(소극) / 사실의 ‘공표’에 해당하는지 판단하는 기준 / 공직선거법 제250조 제2항에서 말하는 ‘사실’의 공표의 의미 및 형사처벌 여부가 문제 되는 표현이 사실을 드러낸 것인지 아니면 의견이나 추상적 판단을 표명한 것인지 판단하는 방법 / 공표된 사실의 내용 전체의 취지를 살펴볼 때 중요한 부분이 객관적 사실과 합치되나 세부에 있어서 진실과 약간 차이가 나거나 다소 과장된 표현이 있는 경우, 이를 허위의 사실이라고 볼 수 있는지 여부(소극) 및 의견과 사실이 혼재되어 있는 표현에 대하여는 이를 전체적으로 보아 사실을 공표하였는지를 판단하여야 하는지 여부(적극) / 여러 표현행위가 일시와 장소를 달리하여 이루어진 경우, 개별 행위별로 허위사실공표죄에 해당하는지 살펴보아야 하는지 여부(원칙적 적극)
[2] 선거에서 정책공약이나 이를 비판·검증하는 표현은 보다 폭넓게 보호될 필요가 있는지 여부(적극) / 후보자들이 정책공약이나 이를 비판·검증하는 과정에서 한 표현에 포함된 일부 표현을 근거로 그 전체적인 취지나 맥락에서 벗어나 사후적인 해석을 가미하여 형사처벌의 기초로 삼는 것이 선거과정에서 장려되어야 할 표현을 지나치게 위축시키거나 봉쇄하는 것인지 여부(적극)
[3] 후보자 등이 후보자 토론회에 참여하여 질문·답변을 하거나 주장·반론을 하는 경우, 공직선거법 제250조 제1항에 의하여 허위사실공표죄로 처벌할 수 있는지 여부(원칙적 소극)
[4] 피고인들인 전국동시지방선거에 출마한 후보자 甲과 甲의 선거대책위원회 정책위원장, 자원봉사자가 라디오토론회 및 TV토론회에서의 각 발언과 선거과정에서 작성·배포한 카드뉴스 및 보도자료를 통하여, 상대후보자인 乙이 지역 산림조합장과 지역 축제 추진위원장 재직 기간 투기 목적으로 집중적으로 丙 공원 주변 토지를 매입하였고, 乙의 선거공약인 丙 공원 국가정원 추진 사업은 투기 목적에서 비롯된 것처럼 인식하도록 乙에게 불리한 허위사실을 공표하였다는 이유로 공직선거법 위반으로 기소된 사안에서, 공소사실을 유죄로 인정한 원심판단에 법리오해의 잘못이 있다고 한 사례"
과태료일부인용결정에대한재항고[수사기관에 의하여 감정을 위촉받은 사람이 증인으로 소환되었으나 불출석하여 과태료를 부과받은 뒤 과태료 부과결정에 대한 취소를 구하는 사건],2023모358,2024. 10. 31.,"형사소송법 제151조, 형사소송법 제152조, 형사소송법 제169조, 형사소송법 제170조, 형사소송법 제171조, 형사소송법 제172조, 형사소송법 제172조의2, 형사소송법 제173조, 형사소송법 제174조, 형사소송법 제175조, 형사소송법 제176조, 형사소송법 제177조, 형사소송법 제179조, 형사소송법 제221조","형사소송법이 증인의 법정 출석을 강제할 수 있는 권한을 법원에 부여한 취지 / 감정인의 자격 및 경험한 과거의 사실을 진술할 지위에 있지 않음이 명백한 감정인을 법원이 증인 또는 감정증인으로 소환한 경우, 감정인이 소환장을 송달받고 출석하지 않았더라도 불출석에 대한 제재로서 형사소송법 제151조 제1항에 따른 과태료를 부과할 수 있는지 여부(소극) / 이러한 법리는 형사소송법 제221조 제2항에 따라 수사기관에 의하여 감정을 위촉받은 사람이 감정의 결과로 감정서를 제출한 경우, 그에 관한 법정에서의 진술이 그가 경험한 과거의 사실에 관한 것이 아니라 오로지 감정인으로서의 학식과 경험에 의하여 얻은 일정한 원리 또는 판단을 진술하는 것임이 명백한 때에도 마찬가지인지 여부(적극) 및 이때 그를 증인 또는 감정증인으로 소환하여 신문하는 것이 관련 형사소송법의 취지에 부합하는지 여부(소극)"
도로교통법위반[진로변경방법 위반으로 인한 도로교통법 위반에 관한 공소제기절차가 법률에 위반되는지 여부가 문제된 사건],2024도8903,2024. 10. 31.,"교통사고처리 특례법 제3조, 교통사고처리 특례법 제4조, 도로교통법 제19조, 도로교통법 제156조, 도로교통법 제162조, 도로교통법 제163조, 도로교통법 제164조, 도로교통법 제165조, 도로교통법 시행규칙 제38조, 도로교통법 시행규칙 제91조, 즉결심판에 관한 절차법 제5조","[1] 자동차운전면허대장상 벌점의 배점만으로 그 무효확인 또는 취소를 구하는 소송의 대상이 되는 행정처분인지 여부(소극) 및 도로교통법 시행규칙 [별표 28]에 정한 사유가 있는 경우, 당해 사고 또는 위반으로 인한 벌점이 삭제될 수 있는지 여부(적극)
[2] 피고인이 승용차를 운전하며 진로를 변경하다 甲이 운전하는 승용차와 충돌하여 甲에게 상해를 입히자 이를 조사한 경찰은 피고인에게 진로변경방법 위반을 이유로 범칙금 통고처분과 함께 면허벌점을 부과하였고, 피고인의 차량이 종합보험에 가입되어 있어 교통사고처리 특례법 위반(치상) 혐의에 관하여 불입건 결정을 하였는데, 피고인이 범칙금을 납부하였다가 면허벌점을 받는 것이 부당하다는 이유로 돌려받자, 경찰은 피고인의 범칙금 미납을 이유로 즉결심판을 청구하였으나 법원이 기각하였고, 이후 사건을 송치받은 검사가 도로교통법 위반으로 약식기소를 한 사안에서, 위 공소제기 절차는 관련 법령이 정한 요건과 절차에 따라 이루어진 것으로 교통사고처리 특례법의 취지에 반하는 위법이 있다고 보기 어렵다는 이유로, 이와 달리 본 원심판단에 법리오해의 잘못이 있다고 한 사례"
명예훼손·모욕·협박·스토킹범죄의처벌등에관한법률위반[국가공무원법 등이 스토킹범죄를 결격대상범죄로 추가하는 내용으로 개정되면서 결격사유 규정에 대하여만 경과규정을 둔 경우 법 개정 전에 범한 스토킹범죄에 관하여 분리 선고 규정이 적용되는지 문제된 사건],2023도12878,2024. 10. 31.,"국가공무원법 제33조, 국가공무원법 제33조의2, 국가공무원법 제69조, 스토킹범죄의 처벌 등에 관한 법률 제2조, 지방공무원법 제31조, 지방공무원법 제31조의2, 지방공무원법 제61조, 형법 제38조","국가공무원법 제33조의2 및 지방공무원법 제31조의2의 분리 선고 규정의 취지 / 2022. 12. 27. 개정된 국가공무원법 및 지방공무원법의 각 시행일(2022. 12. 27.) 이전에 스토킹범죄를 범한 것이 국가공무원법 제33조 제6호의3 및 지방공무원법 제31조 제6호의3에서 정한 결격사유에 해당하는지 여부(소극) / 2022. 12. 27. 개정된 국가공무원법 및 지방공무원법 시행일 전에 범한 것이어서 결격대상범죄가 아닌 스토킹범죄와 다른 죄의 경합범에 대하여 벌금형을 선고하는 경우, 분리 선고를 정한 국가공무원법 제33조의2 및 지방공무원법 제31조의2가 적용되는지 여부(소극)"
전기통신금융사기피해방지및피해금환급에관한특별법위반·사기·자본시장과금융투자업에관한법률위반[「전기통신금융사기 피해 방지 및 피해금 환급에 관한 특별법」 제2조 제2호 단서의 ‘재화의 공급 또는 용역의 제공 등을 가장한 행위’의 의미가 문제된 사건],2024도6831,2024. 10. 25.,"전기통신금융사기 피해 방지 및 피해금 환급에 관한 특별법 제1조, 전기통신금융사기 피해 방지 및 피해금 환급에 관한 특별법 제2조, 전기통신금융사기 피해 방지 및 피해금 환급에 관한 특별법 제4조, 전기통신금융사기 피해 방지 및 피해금 환급에 관한 특별법 제9조, 전기통신금융사기 피해 방지 및 피해금 환급에 관한 특별법 제10조, 전기통신금융사기 피해 방지 및 피해금 환급에 관한 특별법 제15조의2","[1] 구 전기통신금융사기 피해 방지 및 피해금 환급에 관한 특별법 제2조 제2호 단서 전단에 의하여 전기통신금융사기에서 제외되는 ‘재화의 공급 또는 용역의 제공 등을 가장한 행위’의 의미(=원칙적으로 그 행위의 목적인 ‘재화의 공급 또는 용역의 제공 등’과 재산상 이익 사이에 대가관계를 갖는 경우)
[2] 구 전기통신금융사기 피해 방지 및 피해금 환급에 관한 특별법 제2조 제2호 단서 후단에서 정한 ‘대출의 제공·알선·중개를 가장한 행위’는 대가관계 유무와 관계없이 같은 법 제2조 제2호 본문의 전기통신금융사기에 해당하는지 여부(적극)"
준수사항추가인용결정에대한재항고[위치추적 전자장치 부착명령대상자에 대하여 준수사항을 추가하는 결정을 하면서 준수기간을 정하지 아니한 사건],2024모2948,2024. 10. 18.,"전자장치 부착 등에 관한 법률 제9조, 전자장치 부착 등에 관한 법률 제9조의2, 전자장치 부착 등에 관한 법률 제14조의2","구 전자장치 부착 등에 관한 법률 제9조의2 제1항 각호의 준수사항 중 하나 이상을 부과하면서 부착기간의 범위에서 그 준수기간을 정하지 아니한 경우, 같은 법 제9조의2 제1항을 위반한 것인지 여부(적극) / 같은 법 제14조의2 제2항에 따라 준수사항을 추가, 변경할 때에도 잔여 부착기간의 범위에서 준수기간을 정하여야 하는지 여부(적극)"
공갈·사기·외국환거래법위반[형사소송법 제216조 제3항에 의한 압수 후 청구한 압수영장이 기각되었는데 압수물이 아직 반환되지 않은 상태에서 다시 압수영장을 청구하여 압수영장을 발부받은 다음 압수물을 피압수자에게 반환함과 동시에 다시 압수한 경우 그 압수물의 증거능력이 문제된 사건],2024도10062,2024. 10. 8.,"형사소송법 제216조, 형사소송법 제308조의2, 형사소송법 제318조","범행 중 또는 범행 직후의 범죄 장소에서 영장 없이 압수한 물건에 대하여 압수수색영장을 청구하였다가 영장을 발부받지 못한 경우, 수사기관은 압수한 물건을 즉시 반환하여야 하는지 여부(적극) 및 즉시 반환하지 아니한 압수물의 증거능력 유무(소극) / 이때 압수한 물건을 즉시 반환한다는 것의 의미"
마약류관리에관한법률위반(대마)[주거지 등 압수·수색에서 참여능력 요부가 문제된 사건],2020도11223,2024. 10. 8.,"대한민국헌법 제12조, 장애인차별금지 및 권리구제 등에 관한 법률 제26조, 형사소송법 제121조, 형사소송법 제122조, 형사소송법 제123조, 형사소송법 제219조, 형사소송법 제308조의2","[1] 참여권에 관한 규정을 비롯하여 형사소송법이 정한 압수·수색절차에 관한 구체적 규정들은 헌법 원칙인 적법절차와 영장주의를 구현하는 관점에 따라 해석·실현되어야 하는지 여부(적극)
[2] 형사소송법 제123조 제2항, 제3항, 제219조가 주거지 등에서 압수·수색영장을 집행할 때 주거주 등이나 이웃 등을 참여하도록 한 취지 / 형사소송법 제123조 제2항, 제3항, 제219조에서 정한 바에 따라 압수·수색영장의 집행에 참여하는 주거주 등 또는 이웃 등은 참여능력을 갖추고 있어야 하는지 여부(적극)
[3] 형사소송법 제123조 제2항에서 정한 주거지 등에 대한 압수·수색영장의 집행이 주거주 등이나 이웃 등의 참여 없이 이루어진 경우, 압수·수색영장 집행의 적법 여부(원칙적 소극) 및 주거주 등 또는 이웃 등이 참여하였으나 그 참여자에게 참여능력이 없거나 부족한 경우에도 마찬가지인지 여부(적극)
[4] 형사소송법 제123조 제2항, 제3항에 따라 압수·수색영장의 집행에 참여하는 주거주 등이나 이웃 등에게 의사소통이나 의사표현에 어려움을 겪는 장애가 있을 경우, 수사기관은 그러한 장애가 있는 참여자에 대하여 장애인차별금지 및 권리구제 등에 관한 법률 제26조 제6항의 취지에 맞는 적법한 조치를 취하여야 하는지 여부(적극) / 피의자가 주거주 등인 주거지 등에서 압수·수색영장을 집행할 때 피의자에게 참여능력이 없는 경우, 수사기관은 참여능력이 있는 이웃 등을 함께 참여시켜야 하는지 여부(적극) 및 이때 참여능력이 없는 피의자만 참여한 압수·수색의 적법 여부(원칙적 소극)
[5] 형사소송법 제123조 제2항, 제3항, 제219조에 따라 압수·수색절차에 참여한 참여자와 관련하여 해당 절차의 적법요건이 갖추어졌는지 판단하는 기준"
부정청탁및금품등수수의금지에관한법률위반[「부정청탁 및 금품등 수수의 금지에 관한 법률」(이하 ‘청탁금지법’) 제8조 제1항의 공직자등에 대한 향응 가액 산정 방법이 문제된 사건],2023도12580,2024. 10. 8.,"부정청탁 및 금품등 수수의 금지에 관한 법률 제8조, 부정청탁 및 금품등 수수의 금지에 관한 법률 제22조, 부정청탁 및 금품등 수수의 금지에 관한 법률 제23조","금품 등 수수 및 제공으로 인한 부정청탁 및 금품등 수수의 금지에 관한 법률 위반죄에서 피고인인 공직자 등이 향응을 제공받아 향응제공자와 함께 소비하고 향응제공자가 이에 소요되는 금원을 지출한 경우, 피고인이 받은 향응 가액을 산정하는 방법 / 이는 동시에 향응을 제공받은 공직자 등이 다수일 때에도 마찬가지인지 여부(적극) / 이때 다수의 공직자 등이 각자 제공받은 향응 가액에 차이가 있다고 평가할 만한 특별한 사정이 있는 때에는 이를 반영해야 하는지 여부(적극)"
분묘발굴유골손괴·분묘발굴,2023도15833,2024. 10. 8.,형법 제161조,형법 제161조에서 규정한 유골손괴죄의 보호법익 및 그 대상인 행위 / 제사주재자 또는 그로부터 정당하게 승낙을 얻은 자의 동의 없이 함부로 유골의 물리적 형상을 변경하는 등으로 훼손하는 행위가 ‘손괴’에 해당하는지 여부(적극)
아동복지법위반(아동학대)[교사가 교육과정에서 한 행동이 아동복지법상 금지되는 학대행위에 해당하는지 여부가 문제된 사건],2021도13926,2024. 10. 8.,"교육공무원법 제43조, 교육기본법 제2조, 교육기본법 제9조, 교육기본법 제12조, 교육기본법 제14조, 아동복지법 제1조, 아동복지법 제2조, 아동복지법 제3조, 아동복지법 제17조, 아동복지법 제71조, 초ㆍ중등교육법 제18조, 초ㆍ중등교육법 제20조, 초ㆍ중등교육법 제21조, 초ㆍ중등교육법 시행령 제31조, 초ㆍ중등교육법 시행령 제40조의3","[1] 아동복지법상 금지되는 신체적 학대행위의 의미 및 이는 반드시 아동에 대한 신체적 학대의 목적이나 의도가 있어야만 인정되는지 여부(소극)
[2] 교사가 아동인 학생을 교육하는 과정에서 학생에게 신체적 고통을 느끼게 한 행위가 법령에 따른 교육의 범위 내에 있는 경우, 아동복지법 제17조 제3호를 위반한 것인지 여부(소극) / 교사가 교육상 필요에 따라 아동인 학생을 지도하는 행위에 대하여도 같은 법리가 적용되는지 여부(적극) / 교사의 아동인 학생에 대한 지도행위가 법령과 학칙의 취지에 따른 것으로서 객관적으로 타당하다고 인정되는 경우, 법령에 따른 교육행위의 범위에 속하는지 여부(적극) 및 구 초·중등교육법 시행령 제31조 제8항에 따라 금지되는 체벌에 해당하지 않는 한 지도행위에 다소의 유형력이 수반되었다는 사정만으로 달리 볼 수 있는지 여부(소극)
[3] 초등학교 담임교사인 피고인이 교실에서 피해아동이 율동시간에 율동을 하지 않는다는 이유로 ""야 일어나.""라며 소리를 지르고 피해아동의 팔을 위로 세게 잡아 일으키려 하여, 아동의 신체에 손상을 주거나 신체의 건강 및 발달에 해를 끼치는 신체적 학대행위를 하였다는 공소사실로 기소된 사안에서, 공소사실을 유죄로 인정한 원심판단에 법리오해 등의 잘못이 있다고 한 사례"
국민보호와공공안전을위한테러방지법위반[테러단체 가입 선동으로 인한 「국민보호와 공공안전을 위한 테러방지법」 위반죄의 성립 여부가 문제된 사건],2019도11015,2024. 9. 27.,"국민보호와 공공안전을 위한 테러방지법 제2조, 국민보호와 공공안전을 위한 테러방지법 제12조, 국민보호와 공공안전을 위한 테러방지법 제17조","[1] 국민보호와 공공안전을 위한 테러방지법 제17조 제3항에서 정한 ‘테러단체 가입 선동’의 의미 / 테러 또는 테러단체와 관련한 특정한 정치적 사상이나 추상적인 원리를 옹호하거나 교시하는 것에 그치는 행위 또는 테러단체의 활동을 찬양·고무·선전·동조하는 행위만으로 테러단체 가입 선동이 될 수 있는지 여부(소극) / 테러단체와 아무런 연관 관계가 없는 테러를 선전·선동하는 행위만으로 테러단체 가입 선동에 해당한다고 볼 수 있는지 여부(소극)
 [2] 어떠한 표현이 국민보호와 공공안전을 위한 테러방지법 제17조 제3항에서 정한 테러단체 가입 선동에 해당하는지 판단하는 기준 및 소셜미디어 플랫폼을 통해 게시된 표현이 테러단체 가입 선동행위에 해당하는지, 테러를 선동·선전하는 행위에 해당하는지, 테러단체의 활동을 찬양·고무·선전·동조하는 데에 그치는지 구별하는 방법
 [3] 테러단체 가입에 관한 내용이나 테러단체에 가입하라는 취지가 명시적·직접적으로 드러나는 경우 또는 가입을 위한 구체적인 의사연락의 표지나 가입수단과 방법, 절차 등이 제시되거나 제시된 표지 등이 실질적인 테러단체 가입수단에 해당하는지가 명확하게 밝혀져야만 국민보호와 공공안전을 위한 테러방지법 제17조 제3항에서 정한 테러단체 가입 선동에 해당하는지 여부(소극) 
 [4] 국민보호와 공공안전을 위한 테러방지법 제17조 제3항에서 정한 테러단체 가입 선동에 해당하려면 피선동자에게 테러단체 가입의 결의를 유발하거나 증대시킬 위험성이 인정되어야 하는지 여부(적극) 및 이때 선동으로 피선동자에게 가입 결의가 발생할 것을 요건으로 한다거나 피선동자가 가입의 실행행위로 나아갈 개연성이 있다고 인정되어야 가입 선동의 위험성이 있다고 볼 수 있는지 여부(소극)
 [5] 피고인이 자신이 운영하는 인터넷 페이스북 계정에 이슬람국가(IS) 및 그 계열 테러단체를 찬양하는 등의 게시물을 게재하고, 그 게시물을 보고 IS에 호감을 가지는 사람들이 곧바로 IS 대원과 1:1 대화를 할 수 있는 텔레그램 대화방 링크를 게재하는 방법으로 다수의 사람들이 IS에 가입하도록 선동하기로 마음먹고, 페이스북에 국제연합(UN)이 지정한 테러단체인 IS의 사상을 찬양하는 글과 동영상을 올리고, 불상의 IS 대원과 직접 대화할 수 있는 링크를 게시하는 방법으로 불특정 다수로 하여금 IS에 가입할 수 있도록 선동했다는 공소사실로 기소된 사안에서, 피고인이 테러단체 가입을 선동했다는 공소사실을 무죄로 본 원심판단에 법리오해 등의 잘못이 있다고 한 사례"
성매매알선등행위의처벌에관한법률위반(성매매알선등)[성매매알선 행위를 통하여 공범인 직원이 지급받은 급여를 「범죄수익은닉의 규제 및 처벌 등에 관한 법률」에 의하여 추징할 수 있는지 여부가 문제된 사건],2024도8707,2024. 9. 27.,"범죄수익은닉의 규제 및 처벌 등에 관한 법률 제2조, 범죄수익은닉의 규제 및 처벌 등에 관한 법률 제8조, 범죄수익은닉의 규제 및 처벌 등에 관한 법률 제10조, 성매매알선 등 행위의 처벌에 관한 법률 제19조, 성매매알선 등 행위의 처벌에 관한 법률 제25조","성매매알선 등 행위를 한 주범이 공범인 직원에게 급여를 지급하였으나 범죄수익 분배의 일환으로 지급한 것이 아니라 단순히 범죄수익을 얻기 위하여 비용 지출의 일환으로 지급한 것에 불과한 경우, 공범인 직원에 대하여 성매매알선 등 행위의 처벌에 관한 법률 제25조 후단에 의한 추징이 허용되는지 여부(소극) / 공범인 직원이 성매매알선 등 행위(성매매에 제공되는 사실을 알면서 자금·토지 또는 건물을 제공하는 행위는 제외한다)를 하여 그 범죄행위의 보수 명목으로 급여 등을 받아 실질적으로 귀속된 이익금이 있는 경우, 구 범죄수익은닉의 규제 및 처벌 등에 관한 법률 제10조 제1항, 제8조 제1항 제1호에 의하여 공범인 직원으로부터 급여 등의 이익금을 추징할 수 있는지 여부(적극)"
"스토킹범죄의처벌등에관한법률위반[전화를 걸어 부재중 전화 문구, 수신차단기호 등이 표시되도록 한 경우 잠정조치 불이행으로 인한 「스토킹범죄의 처벌 등에 관한 법률」(이하 ‘스토킹처벌법’) 위반죄가 성립하는지 여부 등이 문제된 사건]",2024도7832,2024. 9. 27.,"스토킹범죄의 처벌 등에 관한 법률 제2조, 스토킹범죄의 처벌 등에 관한 법률 제9조, 스토킹범죄의 처벌 등에 관한 법률 제18조, 스토킹범죄의 처벌 등에 관한 법률 제20조, 형법 제40조","[1] 피고인이 전화를 걸어 피해자 휴대전화에 부재중 전화 문구, 수신차단기호 등이 표시되도록 한 경우, 실제 전화통화가 이루어졌는지와 상관없이 ‘피해자의 휴대전화로 유선·무선·광선 및 기타의 전자적 방식에 의하여 부호·문언을 송신하지 말 것’을 명하는 잠정조치를 위반한 것인지 여부(적극)
 [2] 피고인이 피해자에게 접근하거나 전화를 건 행위가 스토킹범죄를 구성하는 스토킹행위에 해당하고 구 스토킹범죄의 처벌 등에 관한 법률 제9조 제1항 제2호, 제3호의 잠정조치를 위반한 행위에도 해당하는 경우, ‘스토킹범죄로 인한 같은 법 위반죄’와 ‘잠정조치 불이행으로 인한 같은 법 위반죄’의 죄수관계(=상상적 경합범)"
"전기통신금융사기피해방지및피해금환급에관한특별법위반·컴퓨터등사용사기[구 「전기통신금융사기 피해 방지 및 피해금 환급에 관한 특별법」(2023. 5. 16. 법률 제19418호로 개정되어 2023. 11. 17. 시행되기 전의 것, 이하 ‘구법’) 제15조의2 제1항의 개정이 ‘범죄 후의 법령개폐로 형이 폐지되었을 때’에 해당하는지 여부가 문제된 사건]",2024도7516,2024. 9. 27.,"전기통신금융사기 피해 방지 및 피해금 환급에 관한 특별법 제2조, 전기통신금융사기 피해 방지 및 피해금 환급에 관한 특별법 제15조의2, 형법 제1조, 형사소송법 제326조","구 전기통신금융사기 피해 방지 및 피해금 환급에 관한 특별법이 2023. 5. 16. 법률 제19418호로 개정됨에 따라, 같은 법 제15조의2 제1항 제1, 2호에서 형사처벌 대상으로 규정한 ‘전기통신금융사기를 목적으로, 타인으로 하여금 컴퓨터 등 정보처리장치에 정보 또는 명령을 입력하게 하는 행위, 취득한 타인의 정보를 이용하여 컴퓨터 등 정보처리장치에 정보 또는 명령을 입력하는 행위’가 범죄를 구성하지 아니하게 되어 그에 관한 형이 폐지된 것인지 여부(소극)"
